question_code,category,exception_code,severity,question_text,exception_description_response,check_type,selling_guide_citations,p0_status_loan_12607601215,status_reason_category,status_reason_detail,engine_message
CIP DATA POINTS,Application,CIP data points,Major,"Are the 4 Customer Identification Program (CIP) data points provided in file:  Name, Physical property address, DOB, SS#/Tax ID?",The 4 Customer Identification Program ( CIP ) data points have not been provided or are inconsistent.,cross_doc_consistency,B2-2-01 General Borrower Eligibility Requirements; A3-2-01 Compliance With Laws,PASS,REAL_DATA_MATCH,Predicate satisfied.,Predicate satisfied.
Final URLA,Application,URLA-Final-9,Major,Have all sections of the Final 1003 been completed and accurate?,The employment dates listed on the 1003 do not match other employment documentation in the file,cross_doc_consistency,"B1-1-01 Contents of the Application Package; B3-2-10 Accuracy of DU Data, DU Tolerances, and Errors in the Credit Report",NOT_COMPILED,NOT_COMPILED_CROSS_DOC_NO_CURATED_COMPARISON,Rule requires comparing two documents to each other; no curated comparison logic exists yet (compile-time gap),
Final URLA,Application,URLA-Final-2,Major,Have all sections of the Final 1003 been completed and accurate?,The final 1003 application is inaccurate or incomplete,doc_completeness,"B1-1-01 Contents of the Application Package; B3-2-10 Accuracy of DU Data, DU Tolerances, and Errors in the Credit Report",NOT_COMPILED,NOT_COMPILED_PRESENCE_GATE_NEEDS_CONDITIONAL_LOGIC,"The Final URLA/1003 must not only exist but have all sections completed and accurate; a completeness/accuracy content check goes beyond mere presence, and no exact closed-list form name is used in the prose.",
Final URLA,Application,URLA-Final-4,Major,Have all sections of the Final 1003 been completed and accurate?,The final 1003 is missing either a 2 year residency or employment history,doc_completeness,"B1-1-01 Contents of the Application Package; B3-2-10 Accuracy of DU Data, DU Tolerances, and Errors in the Credit Report",NOT_COMPILED,NOT_COMPILED_PRESENCE_GATE_NEEDS_CONDITIONAL_LOGIC,"The Final 1003/URLA is assumed present; the defect is about missing 2-year residency/employment-history content within it, not the document's mere presence, and 'Final 1003' isn't a literal closed-list string so no mapping is made.",
Final URLA,Application,URLA-Final-5,Major,Have all sections of the Final 1003 been completed and accurate?,The loan purpose selected on the final 1003 does not match the final 1008 and/or final DU,cross_doc_consistency,"B1-1-01 Contents of the Application Package; B3-2-10 Accuracy of DU Data, DU Tolerances, and Errors in the Credit Report",NOT_COMPILED,NOT_COMPILED_CROSS_DOC_NO_CURATED_COMPARISON,Rule requires comparing two documents to each other; no curated comparison logic exists yet (compile-time gap),
Final URLA,Application,URLA-Final-8,Major,Have all sections of the Final 1003 been completed and accurate?,The manner in which title is held on the 1003 does not match the title commitment,cross_doc_consistency,"B1-1-01 Contents of the Application Package; B3-2-10 Accuracy of DU Data, DU Tolerances, and Errors in the Credit Report",NOT_COMPILED,NOT_COMPILED_CROSS_DOC_NO_CURATED_COMPARISON,Rule requires comparing two documents to each other; no curated comparison logic exists yet (compile-time gap),
Final URLA,Application,URLA-Final-7,Major,Have all sections of the Final 1003 been completed and accurate?,The marital status is incomplete or appears inaccurate based on documentation in the file,doc_completeness,"B1-1-01 Contents of the Application Package; B3-2-10 Accuracy of DU Data, DU Tolerances, and Errors in the Credit Report",NOT_COMPILED,NOT_COMPILED_PRESENCE_GATE_NEEDS_CONDITIONAL_LOGIC,"Marital status is captured on Section 1 (Borrower Information) of the URLA; the form is presumed present but its content must also be accurate/complete, so presence alone doesn't clear the check.",
Final URLA,Application,URLA-Final-6,Major,Have all sections of the Final 1003 been completed and accurate?,The refinance type selected on the final 1003 does not match the final 1008 and/or the final DU,cross_doc_consistency,"B1-1-01 Contents of the Application Package; B3-2-10 Accuracy of DU Data, DU Tolerances, and Errors in the Credit Report",NOT_APPLICABLE,PRECONDITION_NOT_APPLICABLE,Refinance-type comparison triggers only on a refinance; loanTerms.loanPurposeType='PURCHASE' -- a purchase loan has no refinance type on any document.,Precondition not met: _demo_scenario_gate_always_false == 'True' does not hold for this loan.
Final URLA,Application,URLA-Final-3,Major,Have all sections of the Final 1003 been completed and accurate?,The title vesting on the final 1003 does not match the title commitment,cross_doc_consistency,"B1-1-01 Contents of the Application Package; B3-2-10 Accuracy of DU Data, DU Tolerances, and Errors in the Credit Report",NOT_COMPILED,NOT_COMPILED_CROSS_DOC_NO_CURATED_COMPARISON,Rule requires comparing two documents to each other; no curated comparison logic exists yet (compile-time gap),
Final URLA,Application,Info Discrepancies,Major,Have all sections of the Final 1003 been completed and accurate?,Documentation not requested/provided to address loan file discrepancies.,doc_presence,"B1-1-01 Contents of the Application Package; B3-2-10 Accuracy of DU Data, DU Tolerances, and Errors in the Credit Report",NOT_COMPILED,DEMO_EXCLUDED,not_automatable_for_demo,
O-BP-14663,Application,O-BP-54652,Major,Were the following non-regulatory customary disclosures provided to the applicant in the initial disclosure package?,The following non-regulatory customary disclosure was not provided to the applicant: Borrower Certification and Authorization to Release Information.,doc_presence,B1-1-02 Blanket Authorization Form,PASS,REAL_DATA_MATCH,Predicate satisfied.,Predicate satisfied.
O-BP-14663,Application,O-BP-54653,Major,Were the following non-regulatory customary disclosures provided to the applicant in the initial disclosure package?,The following non-regulatory customary disclosure was not provided to the applicant: Flood Insurance Subject to Change.,doc_presence,B1-1-02 Blanket Authorization Form,NOT_COMPILED,NOT_COMPILED_PURE_PRESENCE_REVIEWED_REJECTED,"Defect is simply that a specific customary disclosure was not provided, with no content or compound-document qualifiers; the disclosure name doesn't exactly match any closed-list document type.",
O-BP-14663,Application,O-BP-54654,Major,Were the following non-regulatory customary disclosures provided to the applicant in the initial disclosure package?,The following non-regulatory customary disclosure was not provided to the applicant:  Acknowledgement of Intent to Proceed (LE)/ Intent to Proceed with Application.,doc_presence,B1-1-02 Blanket Authorization Form,NOT_COMPILED,NOT_COMPILED_PURE_PRESENCE_REVIEWED_REJECTED,"Defect is simply that the Intent to Proceed disclosure was not provided, with no completeness/content qualifier and no compound alternatives; the specific disclosure name is not in the closed touchless vocabulary.",
O-CFPB-14500,Application,O-CFPB-54136,Minor,(Best Practice) Were all Limited English Proficiency (LEP) requirements met?,(Best Practice) The borrower was not provided with a clear and timely Limited English Proficiency (LEP) disclosure in non-English languages at the time of application that describes the extent and limits of any language services provided throughout the product lifecycle.,doc_presence,,NOT_COMPILED,NOT_COMPILED_TRIGGER_GATED_NEEDS_FACT_MACHINERY,"Only applies when the borrower is a Limited English Proficiency individual, a fact not knowable from the document inventory alone.",
